wk,day,date,time,result,home,away,attendance,venue,referee,match_report,season,mean_points_home,mean_score_home,mean_points_away,mean_score_away,b365h,b365d,b365a,bwh,bwd,bwa,iwh,iwd,iwa,psh,psd,psa,whh,whd,wha,vch,vcd,vca,max_h,max_d,max_a,avg_h,avg_d,avg_a,bet,wager_h,wager_d,wager_a,wager_total,profit,cum_profit
2,Fri,2019-08-16,20:45 (13:45),H,Lyon,Angers,49871,Groupama Stadium,Benoît Millot,Match Report,2019,1.75,2.25,1.5,0.75,1.5,4.33,6,1.48,4.5,6.5,1.45,4.4,7.2,1.51,4.51,6.74,1.47,4.33,6.5,1.5,4.5,6.5,1.55,4.65,7.2,1.5,4.45,6.4,1,0.6457399103139013,0.21524663677130046,0.13901345291479822,1,8.968609865471766e-4,8.968609865471766e-4
2,Sat,2019-08-17,17:30 (10:30),D,Nantes,Marseille,34832,Stade de la Beaujoire - Louis Fonteneau,Benoît Bastien,Match Report,2019,2.25,2.25,1.75,2.25,2.6,3.1,2.9,2.6,3.2,2.8,2.55,3.2,2.85,2.62,3.16,3.01,2.5,3.2,2.88,2.55,3.2,3,2.75,3.34,3.01,2.58,3.16,2.88,1,0.36536693330038267,0.30082606783714144,0.33380699886247583,1,0.0047590665760524065,0.005655927562599583
2,Sat,2019-08-17,20:00 (13:00),D,Bordeaux,Montpellier,30192,Stade Matmut-Atlantique,Franck Schneider,Match Report,2019,0.75,1,1.5,1,2.62,3,3,2.8,2.9,2.85,2.7,3,2.9,2.79,3,2.96,2.62,3,2.88,2.7,3,3,2.85,3.16,3.03,2.7,2.98,2.9,1,0.3518038822323387,0.31729147606397634,0.33090464170368494,1,0.0026410643621652685,0.008296991924764852
2,Sun,2019-08-18,21:00 (14:00),H,Rennes,Paris S-G,28596,Roazhon Park,Antony Gautier,Match Report,2019,1.5,1.5,0.75,1.75,8,5.25,1.36,7.75,5.75,1.34,7.5,5.4,1.36,7.57,5.61,1.38,9,5.25,1.32,9.5,5.5,1.33,9.5,5.75,1.42,7.83,5.35,1.36,1,0.10703985317252229,0.17684845306764552,0.7161116937598321,0.9999999999999999,0.016878605138961777,0.02517559706372663
2,Sat,2019-08-24,15:30 (08:30),A,Mainz 05,M'Gladbach,28005,Opel Arena,Martin Petersen,Match Report,2019,2.5,3.75,1.5,1.5,2.9,3.4,2.4,2.85,3.4,2.35,2.85,3.45,2.45,2.85,3.48,2.56,2.8,3.4,2.5,2.8,3.4,2.55,3.25,3.55,2.59,2.86,3.42,2.46,1,0.315425650525738,0.2887699617489151,0.39580438772534693,1,0.025133364208648423,0.05030896127237505
3,Sat,2019-08-24,20:00 (13:00),H,Angers,Metz,9001,Stade Raymond Kopa,Stéphanie Frappart,Match Report,2019,1.25,1.5,1,1,2.1,3.25,3.75,2,3.2,3.9,2.1,3.2,3.8,2.18,3.2,3.88,2.1,3.2,3.7,2.15,3.2,3.8,2.2,3.29,4.3,2.12,3.18,3.78,1,0.4586480791052034,0.30669476414329716,0.23465715675149948,1,0.009025774031447442,0.059334735303822495
3,Sun,2019-08-25,17:00 (10:00),A,Strasbourg,Rennes,24951,Stade de la Meinau,Ruddy Buquet,Match Report,2019,0.5,0.75,1.75,1.75,2.75,3.1,2.7,2.65,3.1,2.7,2.65,3.1,2.8,2.73,3.16,2.89,2.62,3.2,2.75,2.7,3.13,2.88,2.85,3.28,2.92,2.67,3.1,2.81,1,0.3515025176529309,0.30542139491184545,0.3430760874352237,1,0.00178217531085334,0.061116910614675835
3,Sat,2019-08-31,17:00 (10:00),D,Osasuna,Barcelona,16742,Estadio El Sadar,Juan Martínez,Match Report,2019,1,0,1,1,10,5,1.33,10,4.75,1.35,9.6,5.5,1.3,9.99,4.92,1.37,9.5,4.75,1.36,10,4.8,1.4,10.5,5.5,1.4,9.52,4.86,1.36,1,0.09606986899563318,0.1834061135371179,0.720524017467249,1,0.00873362445414827,0.0698505350688241
4,Sat,2019-08-31,15:00 (09:00),D,Chelsea,Sheffield Utd,40560,Stamford Bridge,Stuart Attwell,Match Report,2019,2,2,1,1,1.36,4.75,9,1.34,5,9.5,1.35,5.3,8,1.36,5.12,10.23,1.35,4.8,9,1.4,5,10,1.4,5.3,10.75,1.36,4.98,9.53,1,0.7171628170432375,0.18943923469066648,0.09339794826609603,1,0.004027943860532401,0.0738784789293565
4,Sat,2019-08-31,20:00 (13:00),H,Nîmes,Brest,12488,Stade des Costières,Thomas Léonard,Match Report,2019,1.5,1.5,1,1,2,3.25,4.2,2.05,3.3,3.8,2.05,3.3,3.7,2.11,3.41,3.82,2.05,3.3,3.7,2.1,3.4,3.7,2.16,3.46,4.2,2.08,3.32,3.71,1,0.46760367595953356,0.29191443354699204,0.2404818904934744,1,0.010023940072592552,0.08390241900194906
